game,round,phase,is_starter,is_playing,player,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus
PAR-MAD,32,REGULAR SEASON,False,True,Nunnally James,22:13,14,5,6,0,0,4,4,1,1,2,2,0,0,0,0,2,3,18,14
MAD-PAR,39,PLAYOFFS,False,True,Nunnally James,24:25,9,0,1,2,2,3,3,0,2,2,5,0,1,0,0,1,3,16,7
PAR-MCO,17,REGULAR SEASON,False,True,Exum Dante,15:48,11,2,2,0,0,7,8,0,0,0,2,0,1,1,0,2,5,15,12
PAR-ZAL,5,REGULAR SEASON,False,True,Exum Dante,20:14,11,1,2,0,0,9,10,0,0,0,2,3,0,0,0,3,7,18,7
MIL-PAR,28,REGULAR SEASON,False,True,Exum Dante,16:57,10,0,2,2,4,4,4,0,1,1,3,1,4,0,1,4,6,8,-2
PAR-VIR,4,REGULAR SEASON,False,True,Exum Dante,16:46,3,0,1,1,3,0,0,0,2,2,2,0,1,0,0,2,2,3,5
PAR-IST,14,REGULAR SEASON,True,True,Exum Dante,31:07,18,4,4,1,2,7,7,0,2,2,4,0,2,1,0,2,4,24,11
PAR-MIL,3,REGULAR SEASON,True,True,Exum Dante,17:35,7,1,5,1,2,2,2,1,3,4,1,0,6,0,0,3,2,0,-2
BER-PAR,1,REGULAR SEASON,True,True,Exum Dante,33:08,22,8,13,1,3,3,3,1,2,3,4,2,3,0,0,3,4,22,-9
PAR-BAR,31,REGULAR SEASON,False,True,Exum Dante,27:37,24,4,6,3,5,7,8,1,0,1,0,0,1,0,0,2,8,25,4
PAR-ULK,25,REGULAR SEASON,False,True,Exum Dante,21:43,17,4,8,2,5,3,4,2,2,4,3,0,3,0,0,4,4,13,8
PAR-MAD,37,PLAYOFFS,False,True,Exum Dante,26:26,11,4,6,0,2,3,3,0,1,1,1,0,1,0,0,1,6,13,-12
PAN-PAR,6,REGULAR SEASON,False,True,Exum Dante,23:50,12,5,5,0,2,2,3,0,2,2,2,1,2,0,0,3,3,12,-5
IST-PAR,29,REGULAR SEASON,False,True,Exum Dante,16:27,9,2,3,0,0,5,5,0,2,2,6,0,0,0,0,3,5,18,18
MUN-PAR,24,REGULAR SEASON,False,True,Exum Dante,23:10,11,2,3,1,4,4,5,2,2,4,5,0,2,0,0,2,5,16,8
BAS-PAR,2,REGULAR SEASON,True,True,Exum Dante,29:34,4,1,4,0,1,2,2,0,3,3,4,0,1,0,0,5,3,4,7
PAR-RED,12,REGULAR SEASON,False,True,Exum Dante,15:10,5,1,4,1,3,0,0,1,2,3,0,0,3,0,0,1,1,0,-8
